,Lemma,definition
23798,отворот,"<i>Noun</i><br>1. lapel, flap (each of the two triangular pieces of cloth on a suit)<br>2. (boot) top<br>3. cuff"
23799,визуализация,"<i>Noun</i><br>1. visualization (the act of visualizing, or something visualized)"
23800,ролевой,<i>Adjective</i><br>1. role<br>2. role-playing<br><i>Adjective</i><br>1. role<br>2. role-playing
23801,наперевес,"<i>Adverb</i><br>1. atilt, a-tilt, tilted forwards"
23802,Яшка,
23803,противодействовать,"<i>Verb</i><br>1. to counteract, to oppose"
23804,сверхзадача,<i>Noun</i><br>1. super-task (extremely difficult or important task)
23805,Филиппины,<i>Proper noun</i><br>1. Philippines (a country and archipelago in Southeast Asia)
23806,вероятностный,<i>Adjective</i><br>1. probabilistic
23807,посвистывать,<i>Verb</i><br>1. to whistle
23808,щелочка,"<i>Noun</i><br>1. Diminutive of щёлка (ščólka), Diminutive of щель (ščelʹ)"
23809,кантон,<i>Noun</i><br>1. canton (administrative division)
23810,косогор,<i>Noun</i><br>1. hillside<br>2. slope
23811,посветлеть,"<i>Verb</i><br>1. to lighten, to become lighter"
23812,противопоказание,<i>Noun</i><br>1. contraindication
23813,заразный,"<i>Adjective</i><br>1. infectious, contagious<br><i>Noun</i><br>1. infectious, contagious"
23814,кафельный,<i>Adjective</i><br>1. glazed tile
23815,Франкфурт,"<i>Proper noun</i><br>1. Frankfurt, Frankfurt-am-Main (the largest city in Hesse, in central Germany)<br>2. Frankfurt, Frankfurt-an-der-Oder (a sizable town in Brandenburg, in eastern Germany)"
23816,электромеханический,<i>Adjective</i><br>1. electromechanical
23817,потуга,"<i>Noun</i><br>1. effort, attempt"
23818,длинноволосый,<i>Adjective</i><br>1. long-haired
23819,слезный,"<i>Adjective</i><br>1. tear (water from the eyes); lacrimal<br>2. teary, tearful<br>3. plaintive, sorrowful, tearful"
23820,замять,"<i>Verb</i><br>1. to crush, to rumple, to crumple<br>2. to hush up"
23821,настоятельный,"<i>Adjective</i><br>1. very stubborn, persistent<br>2. urgent, pressing"
23822,оглашение,"<i>Noun</i><br>1. announcement, publication, proclaiming"
23823,потребный,"<i>Adjective</i><br>1. necessary, required, needed"
23824,североамериканский,<i>Adjective</i><br>1. North American
23825,аул,<i>Noun</i><br>1. aul (a type of village in the Caucasus or Central Asia)
23826,Розов,
23827,членский,<i>Adjective</i><br>1. membership
23828,Плотников,
23829,оговариваться,"<i>Verb</i><br>1. to slander<br>2. to stipulate<br>3. to mention, to specify"
23830,аудиенция,<i>Noun</i><br>1. audience (a formal meeting)
23831,типаж,"<i>Noun</i><br>1. type, character (a set of characteristic traits; a person having such traits)<br>2. trait (an abstract data type consisting of a collection of methods)"
23832,любимица,"<i>Noun</i><br>1. female favourite, pet, fondling, minion"
23833,Штерн,
23834,ослеплять,<i>Verb</i><br>1. to blind<br>2. to dazzle
23835,осведомитель,"<i>Noun</i><br>1. informant, informer<br>2. whistleblower"
23836,протектор,
23837,взяточник,<i>Noun</i><br>1. bribetaker (a person who takes bribes)
23838,взяточничество,"<i>Noun</i><br>1. corrupt practices, taking bribes"
23839,ошеломлять,"<i>Verb</i><br>1. to stun, to stupefy"
23840,рассвирепеть,"<i>Verb</i><br>1. to grow furious, to begin to see red<br>2. to become fierce, to become ferocious, to become cruel"
23841,причитание,"<i>Noun</i><br>1. lamentation, wail"
23842,трепетно,
23843,симбиоз,<i>Noun</i><br>1. symbiosis (relationship of mutual benefit)
23844,Рогов,
23845,лоббист,<i>Noun</i><br>1. lobbyist
23846,стимулятор,<i>Noun</i><br>1. stimulant<br>2. pacemaker
23847,перемешивать,"<i>Verb</i><br>1. to stir, to agitate<br>2. to intermix, to intermingle, to mix , to blend<br>3. to shuffle, to mix up, to confuse, to jumble up, to muddle up<br><i>Verb</i><br>1. to stir, to agitate<br>2. to intermix, to intermingle, to mix , to blend<br>3. to shuffle, to mix up, to confuse, to jumble up, to muddle up"
23848,противень,"<i>Noun</i><br>1. baking tray, sheet pan"
23849,наследница,<i>Noun</i><br>1. heiress
23850,межа,"<i>Noun</i><br>1. abutment, abuttal, boundary, margin, division (as in land plots)"
23851,послабление,"<i>Noun</i><br>1. indulgence, leniency"
23852,Франсуа,
23853,энергоснабжение,<i>Noun</i><br>1. electric power supply
23854,лесистый,"<i>Adjective</i><br>1. woody, wooded, timbered"
23855,Надеждин,
23856,невыезд,<i>Noun</i><br>1. period of not leaving a given city or country<br>2. prohibition on leaving a given city or country
23857,вокалист,"<i>Noun</i><br>1. vocalist, singer"
23858,согласованность,<i>Noun</i><br>1. concordance (agreement)<br>2. coherence<br>3. consistency
23859,вар,"<i>Noun</i><br>1. tar, pitch<br>2. cobbler's wax<br>3. boiling water"
23860,облачный,<i>Adjective</i><br>1. cloudy (covered with or characterised by clouds)
23861,опрашивать,"<i>Verb</i><br>1. to question, to interrogate, to examine<br>2. to poll, to interrogate"
23862,шпора,"<i>Noun</i><br>1. spur<br>2. cheat sheet, crib (from шпаргалка)"
23863,отхватить,"<i>Verb</i><br>1. to chop off, to cut off<br>2. to perform (a dance) dashingly<br>3. to get in trouble, to get beaten up"
23864,металлопродукция,
23865,смышленый,"<i>Adjective</i><br>1. smart, intelligent"
23866,кустарный,"<i>Adjective</i><br>1. artisanal, handcrafted<br>2. imperfect, primitive"
23867,сжигание,"<i>Noun</i><br>1. burning, incineration (the act of burning, incinerating)"
23868,стоптать,<i>Verb</i><br>1. to wear down (shoes)<br>2. to trample
23869,бесперебойный,<i>Adjective</i><br>1. uninterrupted
23870,сталкивать,<i>Verb</i><br>1. to push (off or away)<br>2. to bring together<br>3. to cause to collide
23871,прикольно,
23872,концессия,<i>Noun</i><br>1. concession
23873,одномандатный,<i>Adjective</i><br>1. single-member (referring to an electoral district represented by a single candidate)
23874,Вышинский,
23875,коррелировать,<i>Verb</i><br>1. to correlate
23876,назидательно,
23877,воплощенный,<i>Participle</i><br>1. past passive perfective participle of воплоти́ть (voplotítʹ)<br><i>Adjective</i><br>1. past passive perfective participle of воплоти́ть (voplotítʹ)
23878,выпечка,"<i>Noun</i><br>1. baking (action of to bake)<br>2. baked goods, buns and rolls"
23879,полноприводный,"<i>Adjective</i><br>1. all-wheel drive, four-wheel drive"
23880,проделка,"<i>Noun</i><br>1. prank, trick"
23881,рассудительно,"<i>Adjective</i><br>1. level-headed, rational, reasonable"
23882,повозиться,"<i>Verb</i><br>1. to drive, to take for drives"
23883,правомерность,<i>Noun</i><br>1. legitimacy
23884,отчий,"<i>Adjective</i><br>1. fatherly, paternal<br>2. native"
23885,двухмесячный,<i>Adjective</i><br>1. two-month (lasting two months)<br>2. two-month-old
23886,мочиться,"<i>Verb</i><br>1. to wet, to moisten, to douse, to humidify<br>2. to soak, to steep<br>3. to dike<br>4. to dunk<br>5. to pickle, to marinate<br>6. to kill, to waste"
23887,шахтерский,"<i>Adjective</i><br>1. miner; miner's, miners'"
23888,вялость,"<i>Noun</i><br>1. sluggishness, slowness, lethargy, inactivity"
23889,расталкивать,"<i>Verb</i><br>1. to push away, aside, or apart (all or many people)<br>2. to shake awake"
23890,стрекотать,"<i>Verb</i><br>1. to chirr<br>2. to rattle, to chatter"
23891,Титаник,
23892,повременить,<i>Verb</i><br>1. to wait (a little with something); to not proceed
23893,вяз,<i>Verb</i><br>1. to stick
23894,половодье,<i>Noun</i><br>1. seasonal flooding<br>2. flood
23895,сгубить,"<i>Verb</i><br>1. to wreck, to destroy, to ruin"
23896,приколоть,"<i>Verb</i><br>1. to pin, to fasten<br>2. to stab to death"
23897,нега,"<i>Noun</i><br>1. luxury, comfort, prosperity<br>2. bliss, delight, contentment, languor"
23898,разбомбить,<i>Verb</i><br>1. to destroy by bombing
23899,млечный,<i>Adjective</i><br>1. milky
23900,перс,<i>Noun</i><br>1. Persian
23901,живительный,"<i>Adjective</i><br>1. invigorating, strengthening life forces"
23902,дозаправка,<i>Noun</i><br>1. refueling
23903,рычажок,"<i>Noun</i><br>1. lever (rigid thing turning about an axis, used for transmitting and modifying force and motion)"
23904,продержать,"<i>Verb</i><br>1. to keep, to hold"
23905,аорта,<i>Noun</i><br>1. aorta
23906,Швыдкой,
23907,отбежать,<i>Verb</i><br>1. to run back<br>2. to run away
23908,проглядеть,"<i>Verb</i><br>1. to look (through), to skim<br>2. to overlook, to miss"
23909,хартия,"<i>Noun</i><br>1. charter (ancient manuscript as well as the material on which it was written)<br>2. charter, declaration (official document with the declaration of anything)"
23910,шевеление,"<i>Noun</i><br>1. stir, movement"
23911,австралиец,<i>Noun</i><br>1. Australian (person)
23912,притон,"<i>Noun</i><br>1. disorderly house, den, nest (hideout)<br>2. haunt, hangout"
23913,пластилин,<i>Noun</i><br>1. plasticine
23914,утопический,<i>Adjective</i><br>1. utopian
23915,заигрывать,"<i>Verb</i><br>1. to flirt (with)<br>2. to make advances (to)<br>3. (a record, tape recorder etc.) to spoil/wear out by playing<br>4. to run down, to exhaust, to overuse, to overwear (by repetition)<br>5. to appropriate, to help oneself (to), to hook"
23916,нумерация,"<i>Noun</i><br>1. numbering, enumeration<br>2. number system"
23917,объяснительный,<i>Adjective</i><br>1. explanatory
23918,перспективность,"<i>Noun</i><br>1. property of being prospective, prospects"
23919,феодализм,<i>Noun</i><br>1. feudalism
23920,Иов,
23921,слежение,"<i>Noun</i><br>1. tracking, following, tracing"
23922,информатор,<i>Noun</i><br>1. informant
23923,упросить,"<i>Verb</i><br>1. to entreat, to beg, to beseech, to prevail (upon)"
23924,двухнедельный,<i>Adjective</i><br>1. two-week (lasting two weeks)<br>2. two-week-old
23925,младой,"<i>Adjective</i><br>1. young, youthful, new"
23926,суммировать,"<i>Verb</i><br>1. to summarize, to sum up, to abridge (to shorten or contract by using fewer words)"
23927,баловство,"<i>Noun</i><br>1. naughtiness, mischievousness<br>2. petting, spoiling, over-indulgence<br>3. something not serious, e.g. not a serious hobby, infatuation, etc."
23928,коммуникационный,"<i>Adjective</i><br>1. communication, communications"
23929,несложно,
23930,громовой,"<i>Adjective</i><br>1. thunder<br>2. thunderous, very loud, deafening<br>3. stunning, awe-inspiring<br>4. destructive"
23931,предоплата,"<i>Noun</i><br>1. prepayment, advance payment (part of a contractually due sum)"
23932,Хохлов,
23933,Хлопонин,
23934,заверещать,<i>Verb</i><br>1. to begin to squeal<br>2. to begin to chirp
23935,недостача,<i>Noun</i><br>1. shortage
23936,кривляться,"<i>Verb</i><br>1. to grimace, to make faces<br>2. to give oneself airs, to be affected"
23937,ТО,
23938,отморозок,"<i>Noun</i><br>1. thug, scumbag, monster (a person utterly lacking moral scruples)"
23939,мочалка,"<i>Noun</i><br>1. body scrubber, sponge, loofah<br>2. wisp of bast<br>3. girl, chick, broad, slut, whore"
23940,Ленфильм,
23941,элеватор,<i>Noun</i><br>1.  grain elevator<br>2. elevator
23942,вперемежку,"<i>Adverb</i><br>1. alternately, in turn"
23943,приласкать,"<i>Verb</i><br>1. to caress (touch, kiss or stroke lovingly)<br>2. to fondle<br>3. to be nice to someone, to show a friendly disposition"
23944,селянин,<i>Noun</i><br>1. rustic (person from a rural area)
23945,предрешить,"<i>Verb</i><br>1. to prejudge, to predetermine, to predestine"
23946,зрячий,"<i>Adjective</i><br>1. seeing (able to see, not blind)<br><i>Noun</i><br>1. seeing (able to see, not blind)"
23947,акустика,<i>Noun</i><br>1. acoustics (quality of a space for doing music)
23948,струнный,"<i>Adjective</i><br>1. string<br>2. string instrument<br>3. sonorous, musical"
23949,сценарный,"<i>Adjective</i><br>1. script<br>2. scenario, plan"
23950,Воронин,
23951,Персия,"<i>Proper noun</i><br>1. Persia (former name of Iran, a country in Western Asia)"
23952,отрапортовать,<i>Verb</i><br>1. to report
23953,углеродный,<i>Adjective</i><br>1. carbon
23954,ретироваться,"<i>Verb</i><br>1. to retreat, to retire, to withdraw, to go away"
23955,банкомат,"<i>Noun</i><br>1. ATM, automated teller machine, cash machine"
23956,возвратный,<i>Adjective</i><br>1. recurrent<br>2. reflexive
23957,невдомек,
23958,храбро,"<i>Adjective</i><br>1. brave, courageous (strong in the face of fear)"
23959,опенок,"<i>Noun</i><br>1. honey fungus (Armillaria), a genus of edible parasitic mushroom with a yellow cap and thin stalk that live on trees and woody shrubs, especially Armillaria mellea, that usually grow in groups on tree roots, stumps, and felled trees."
23960,устыдиться,
23961,смерить,<i>Verb</i><br>1. to measure
23962,Коновалов,
23963,проникаться,<i>Verb</i><br>1. to penetrate<br>2. to permeate<br>3. to infiltrate<br>4. to perforate
23964,юркий,"<i>Adjective</i><br>1. agile, nimble<br>2. quick, brisk"
23965,повеселиться,
23966,сжалиться,<i>Verb</i><br>1. to take pity on
23967,голосить,<i>Verb</i><br>1. to wail
23968,предательский,"<i>Adjective</i><br>1. traitorous, treacherous<br>2. treacherous (dangerous, insidious)<br>3. revealing, informative<br>4. unreliable"
